Name;Age;Nat;Team;Game Played;Goal;Assist;Points;Plus Minus;Position1;Salary;TOI.GP;PIM;G.Bkhd;G.Dflct;G.Slap;G.Snap;G.Tip;G.Wrap;G.Wrst;S.Bkhd;S.Dflct;S.Slap;S.Snap;S.Tip;S.Wrap;S.Wrst;sDist;SA;Grit;iBLK;BLK.;iSCF;SF;SH.;SCA;FO.;X.FOT;dzFOW;dzFOL;nzFOW;nzFOL;ozFOW;ozFOL
Alex Chiasson;26;CAN;CGY;81;12;12;24;-6;RW;800000;13.4;46;1;1;0;1;3;0;6;9;1;13;8;14;1;58;30.4;461;140;18;0.02;41;504;0.073;134;0.241;0.029;2;2;3;2;2;18
Jason Chimera;37;CAN;NYI;82;20;13;33;1;LW;2000000;13.1;40;4;0;1;6;3;0;6;24;1;10;28;3;0;55;31.8;633;221;30;0.024;36;509;0.094;210;0.471;0.036;2;2;9;5;5;11
Taylor Chorney;29;USA;WSH;18;1;4;5;8;D;775000;14.3;11;0;0;1;0;0;0;0;0;0;7;3;0;0;9;50.9;146;68;29;0.109;0;116;0.112;28;0;0;0;0;0;0;0;0
Jakob Chychrun;18;USA;ARI;68;7;13;20;-14;D;925000;16.7;47;0;0;1;0;0;0;6;6;0;16;1;0;4;59;44.1;623;256;99;0.083;8;501;0.076;186;0;0;0;0;0;0;0;0
Casey Cizikas;25;CAN;NYI;59;8;17;25;9;C;2500000;13.9;30;1;0;0;0;2;1;4;9;1;2;15;8;3;44;26.1;434;232;58;0.064;36;365;0.09;167;0.496;0.943;211;229;136;121;73;76
Fredrik Claesson;24;SWE;OTT;33;3;8;11;5;D;700000;13.1;4;0;0;2;0;0;0;1;1;0;14;4;0;1;5;48.8;182;83;24;0.063;2;223;0.063;48;0;0;0;0;0;0;0;0
Adam Clendening;24;USA;NYR;31;2;9;11;3;D;600000;15.8;17;0;0;1;1;0;0;0;1;0;7;15;0;0;15;59.1;187;67;27;0.076;1;247;0.093;44;0;0;0;0;0;0;0;0
Kyle Clifford;25;CAN;L.A;73;6;6;12;-2;LW;1250000;10.7;92;1;0;1;0;3;0;1;8;3;13;14;8;0;76;36.5;279;257;7;0.012;42;381;0.042;88;0.4;0.008;0;1;0;0;2;2
Cal Clutterbuck;29;CAN;NYI;66;5;15;20;2;RW;3500000;14;28;0;0;0;1;1;0;3;17;2;14;12;7;1;62;28.4;503;275;25;0.025;41;398;0.085;174;0.375;0.008;1;2;0;1;2;2
Braydon Coburn;31;CAN;T.B;80;5;7;12;-1;D;3700000;16.7;50;1;0;2;0;0;0;2;12;0;36;12;1;0;41;52.3;707;237;76;0.06;7;594;0.072;175;0;0;0;0;0;0;0;0
Andrew Cogliano;29;CAN;ANA;82;16;19;35;11;LW;3100000;15.1;26;2;0;2;0;2;0;10;14;1;20;15;15;0;114;33.3;629;129;27;0.023;53;664;0.072;215;0.444;0.017;0;2;4;2;4;6
Joe Colborne;26;CAN;COL;62;4;4;8;-21;C;2500000;10.7;34;0;0;0;0;1;0;3;6;1;1;2;6;2;30;20.7;347;134;14;0.024;22;266;0.06;81;0.385;0.196;14;23;13;17;18;32
Ian Cole;27;USA;PIT;81;5;21;26;26;D;2300000;19.8;72;0;0;0;1;0;0;4;1;0;26;10;1;1;50;47.5;887;432;194;0.114;5;764;0.103;287;0;0;0;0;0;0;0;0
Blake Coleman;25;USA;N.J;23;1;1;2;-7;C;692500;12.6;27;0;0;0;1;0;0;0;5;0;1;12;1;1;9;26.9;151;94;15;0.054;6;102;0.02;50;0.425;0.877;43;59;34;41;19;30
Blake Comeau;30;CAN;COL;77;8;12;20;-19;LW;2400000;15;58;0;0;2;2;2;0;2;9;1;22;15;3;1;52;37.4;616;209;22;0.02;28;474;0.074;192;0.463;0.23;40;52;24;26;50;54
J.T. Compher;21;USA;COL;21;3;2;5;0;LW;925000;14.9;4;0;0;0;1;0;0;2;2;1;1;1;3;0;22;30.5;142;36;21;0.081;12;129;0.093;33;0.476;0.586;31;36;31;34;16;16
Cory Conacher;27;CAN;T.B;11;1;3;4;0;C;575000;11.6;4;0;0;0;0;0;0;1;2;0;2;2;2;0;8;30.3;54;5;0;0;5;64;0.078;10;0.5;0.015;0;0;0;0;1;1
Erik Condra;30;USA;T.B;13;0;0;0;-4;RW;1250000;9.6;4;0;0;0;0;0;0;0;0;0;0;2;1;0;5;30.3;65;16;7;0.059;3;54;0.037;13;1;0.008;0;0;0;0;1;0
Kevin Connauton;26;CAN;ARI;24;0;1;1;-1;D;950000;13.1;24;0;0;0;0;0;0;0;0;0;5;1;1;0;14;51.9;185;94;22;0.062;0;134;0.075;62;0;0;0;0;0;0;0;0
Brett Connolly;24;CAN;WSH;66;15;8;23;20;RW;850000;10.7;40;1;2;0;2;2;0;8;5;2;5;14;7;0;48;27.5;301;141;12;0.021;24;382;0.099;73;0.286;0.022;0;1;0;4;4;5
Kyle Connor;20;USA;WPG;20;2;3;5;-7;LW;925000;12.2;4;0;0;0;1;0;0;1;4;1;0;3;0;0;16;27.2;114;13;8;0.039;9;128;0.063;36;0.5;0.01;0;0;0;0;1;1
Andrew Copp;22;USA;WPG;64;9;8;17;8;C;925000;12.3;18;0;1;1;0;1;0;6;5;5;3;7;6;2;49;24.4;373;133;28;0.037;33;337;0.077;94;0.495;0.271;32;39;32;38;31;20
Frank Corrado;23;CAN;PIT;4;0;0;0;-1;D;600000;10.7;8;0;0;0;0;0;0;0;0;0;1;1;0;0;1;46;31;14;2;0.043;0;18;0.056;7;0;0;0;0;0;0;0;0
Nick Cousins;23;CAN;PHI;60;6;10;16;-6;C;840000;12;31;0;1;0;2;1;0;2;7;5;10;22;10;0;45;32.6;317;117;24;0.039;29;388;0.054;80;0.41;0.349;26;31;28;50;35;47
Logan Couture;27;CAN;S.J;73;25;27;52;11;C;6000000;17.6;12;2;3;1;3;1;0;15;14;10;23;21;10;1;95;29.6;571;134;65;0.055;67;707;0.102;177;0.394;0.559;92;144;134;187;70;125
Sean Couturier;24;CAN;PHI;66;14;20;34;12;C;3750000;18.4;33;3;1;0;4;1;0;5;15;3;6;27;7;0;62;26.5;551;110;35;0.034;59;659;0.085;166;0.551;0.967;216;178;201;182;170;119
Charlie Coyle;24;USA;MIN;82;18;38;56;13;C;2600000;16.7;36;3;1;1;2;2;0;9;18;2;11;16;11;3;98;28.1;585;200;63;0.055;68;778;0.102;138;0.46;0.185;28;34;30;23;56;77
Adam Cracknell;31;CAN;DAL;69;10;6;16;9;RW;600000;10.5;12;2;0;1;0;1;0;6;16;1;6;16;3;0;45;29.8;334;140;37;0.053;28;352;0.08;104;0.458;0.478;39;59;58;46;38;55
Joseph Cramarossa;24;CAN;ANA;59;4;6;10;0;C;724500;9.9;60;1;1;0;0;1;1;0;2;2;2;1;1;1;27;27.7;300;224;23;0.04;15;200;0.075;96;0.857;0.014;2;0;3;1;1;0
Sidney Crosby;29;CAN;PIT;75;44;45;89;17;C;10900000;19.9;24;5;2;2;10;6;1;18;39;5;23;45;19;3;121;23.7;715;131;27;0.021;113;1056;0.114;231;0.482;0.985;157;190;293;326;392;390
Lawson Crouse;19;CAN;ARI;72;5;7;12;-20;LW;925000;11.9;48;1;0;0;0;1;2;1;13;0;12;6;4;3;46;30.2;519;241;29;0.03;30;357;0.05;166;0.5;0.002;0;0;0;0;1;1
Matt Cullen;40;USA;PIT;72;13;18;31;4;C;1000000;13.9;30;1;0;2;1;1;1;6;8;0;4;10;3;7;62;21.7;567;93;27;0.025;56;436;0.096;206;0.512;0.82;237;240;106;97;97;82
Austin Czarnik;24;USA;BOS;49;5;8;13;-10;C;842500;13;12;0;0;0;2;0;0;3;9;1;5;9;2;0;40;30.7;242;56;25;0.053;19;319;0.06;63;0.429;0.244;6;13;29;32;22;31
Klas Dahlbeck;25;SWE;CAR;43;2;4;6;-12;D;750000;13.8;30;0;0;0;0;0;0;2;0;0;12;14;0;0;11;46.5;324;145;38;0.063;5;245;0.057;113;0;0;0;0;0;0;0;0
Trevor Daley;33;CAN;PIT;56;5;14;19;7;D;2700000;20.4;37;0;0;5;0;0;0;0;6;0;35;10;1;0;32;42.6;693;150;83;0.066;14;599;0.098;201;0;0;0;0;0;0;0;0
Zac Dalpe;27;CAN;MIN;9;1;2;3;0;C;600000;8.6;9;0;0;0;0;0;0;1;1;0;0;0;0;0;7;30.6;38;20;5;0.07;2;31;0.161;12;0.458;0.881;6;7;13;19;8;6
Phillip Danault;23;CAN;MTL;82;13;27;40;5;LW;875000;15.6;35;2;2;1;3;1;0;4;13;3;10;11;15;3;78;25;592;164;52;0.046;61;673;0.077;175;0.517;0.783;169;166;191;162;173;170
Marko Dano;22;SVK;WPG;38;4;7;11;0;C;925000;10.7;10;0;1;0;0;0;0;3;8;2;4;3;1;1;25;23.7;163;107;14;0.043;24;194;0.077;42;0.25;0.011;1;1;0;1;0;1
Laurent Dauphin;21;CAN;ARI;24;2;1;3;-2;C;767500;10.9;12;1;0;0;0;0;0;1;4;0;0;2;1;1;24;35.5;147;55;11;0.037;11;108;0.046;45;0.451;0.373;14;17;13;18;10;10
Brandon Davidson;25;CAN;EDM;38;0;3;3;-2;D;1300000;15.7;20;0;0;0;0;0;0;0;0;0;21;5;0;0;16;53.3;287;123;61;0.112;1;272;0.074;90;0;0;0;0;0;0;0;0
Calvin de Haan;25;CAN;NYI;82;5;20;25;15;D;2900000;19.8;36;0;1;0;0;1;0;3;2;2;35;20;3;0;54;50.8;802;367;190;0.114;6;754;0.099;256;0;0;0;0;0;0;0;0
Jacob De la Rose;21;SWE;MTL;9;0;0;0;-3;LW;925000;10.9;4;0;0;0;0;0;0;0;1;0;1;0;0;0;2;37.8;55;32;5;0.049;0;24;0.042;15;0.5;0.33;7;10;7;6;3;1
Jean-Sebastien Dea;22;CAN;PIT;1;0;0;0;0;C;575000;11.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;41;6;5;0;0;0;4;0;1;0.5;0.125;0;1;0;0;1;0
Anthony Deangelo;21;USA;ARI;39;5;9;14;-13;D;925000;17.1;37;0;0;1;2;0;0;2;3;0;10;6;0;0;41;48.8;366;117;48;0.074;4;367;0.071;120;0;0;0;0;0;0;0;0
Danny DeKeyser;26;USA;DET;82;4;8;12;-22;D;4000000;21.8;33;0;1;1;0;0;0;2;2;1;29;12;0;0;41;53.3;894;304;170;0.097;6;713;0.077;299;0;0;0;0;0;0;0;0
Michael Del Zotto;26;CAN;PHI;51;6;12;18;-5;D;4000000;19.5;28;0;1;2;0;0;0;3;4;2;26;30;1;0;29;44.5;498;286;85;0.09;11;484;0.079;143;0;0.001;0;0;0;0;0;1
Dylan Demelo;23;CAN;S.J;25;1;7;8;2;D;600000;15.9;14;0;0;1;0;0;0;0;1;1;13;3;1;0;13;48.8;173;82;32;0.092;2;182;0.082;56;0;0;0;0;0;0;0;0
Jason Demers;28;CAN;FLA;81;9;19;28;-14;D;5500000;19.6;53;0;0;4;2;0;0;3;2;1;56;14;2;0;23;48.8;825;250;90;0.065;12;767;0.081;231;0;0.001;0;0;0;1;0;0
David Desharnais;30;CAN;EDM;49;6;8;14;4;C;3500000;12.5;12;0;0;0;0;0;0;6;5;1;2;3;3;1;31;24.3;281;32;15;0.029;24;290;0.09;90;0.512;0.618;45;43;60;57;65;62
Andrew Desjardins;30;CAN;CHI;46;0;1;1;-6;LW;800000;9.4;22;0;0;0;0;0;0;0;1;0;2;3;5;1;34;27;215;114;17;0.039;19;209;0.048;71;0.565;0.192;19;9;9;12;11;9
Nicolas Deslauriers;25;CAN;BUF;42;0;2;2;-6;LW;775000;7.4;38;0;0;0;0;0;0;0;7;2;2;3;1;0;11;30;182;156;5;0.017;7;107;0.037;40;0;0.012;0;0;0;0;0;3
Simon Despres;25;CAN;ANA;1;0;0;0;0;D;2600000;16.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;57;2;2;1;0.071;0;6;0;2;0;0;0;0;0;0;0;0
Phillip Di Giuseppe;23;CAN;CAR;36;1;6;7;-12;LW;867500;12.2;15;0;0;0;0;0;0;1;12;0;3;16;5;2;30;28.5;196;117;10;0.028;32;244;0.045;60;0;0.006;0;0;0;0;0;2
Jason Dickinson;21;CAN;DAL;10;2;0;2;-3;C;925000;11.8;0;0;0;0;0;0;0;2;1;0;0;1;1;0;6;23.7;49;12;4;0.045;4;55;0.036;11;0.308;0.131;0;1;1;3;3;5
Chris Didomenico;27;CAN;OTT;3;0;0;0;0;C;575000;11;6;0;0;0;0;0;0;0;0;0;0;0;1;0;4;13.4;12;10;2;0.074;4;15;0.067;6;0.667;0.125;1;0;0;0;1;1
Brenden Dillon;26;CAN;S.J;81;2;8;10;-2;D;2750000;16.4;60;1;0;1;0;0;0;0;2;0;28;6;0;0;50;51.1;581;319;81;0.069;4;619;0.057;182;0;0;0;0;0;0;0;0
Shane Doan;40;CAN;ARI;74;6;21;27;-3;RW;3876134;15;48;1;0;0;0;2;0;3;15;2;19;9;8;1;90;33.9;562;171;22;0.021;50;521;0.077;150;0.472;0.184;28;26;8;6;58;73
Max Domi;21;CAN;ARI;59;9;29;38;-9;LW;832500;17;40;0;0;0;2;0;0;7;10;0;11;7;5;1;74;30.4;525;91;21;0.023;46;514;0.107;172;0.5;0.009;2;2;1;1;2;2
Joonas Donskoi;24;FIN;S.J;61;6;11;17;-5;RW;925000;13.7;10;1;1;0;2;0;0;2;12;3;4;11;6;3;56;22.2;322;64;27;0.041;52;427;0.066;110;0.5;0.021;0;2;3;2;5;4
Derek Dorsett;30;CAN;VAN;14;1;3;4;-6;RW;2500000;9.9;33;0;0;0;0;0;0;1;0;0;4;3;2;2;13;32.8;64;77;6;0.057;7;69;0.072;23;1;0.007;0;0;0;0;1;0
Jake Dotchin;22;CAN;T.B;35;0;11;11;10;D;615000;18.4;35;0;0;0;0;0;0;0;0;0;20;7;1;0;22;53.5;300;140;19;0.036;1;314;0.08;71;0;0;0;0;0;0;0;0
Drew Doughty;27;CAN;L.A;82;12;32;44;8;D;7450000;27.1;46;0;0;8;2;0;0;2;7;0;97;15;2;0;60;48;941;284;109;0.061;18;1181;0.082;313;1;0;0;0;1;0;0;0
Nic Dowd;26;USA;L.A;70;6;16;22;-15;C;630000;12.5;25;2;0;0;0;1;0;3;10;1;8;18;8;0;33;27.1;284;206;35;0.059;41;476;0.063;99;0.478;0.966;79;87;105;108;154;174
Justin Dowling;26;CAN;DAL;9;0;2;2;0;C;625000;10.5;2;0;0;0;0;0;0;0;0;0;1;3;1;0;6;26.5;42;3;0;0;6;44;0.068;12;0.551;0.831;15;15;20;13;3;3
Leon Draisaitl;21;DEU;EDM;82;29;48;77;7;C;925000;18.9;20;3;1;4;5;4;0;12;22;4;13;35;18;2;79;21.2;699;97;36;0.028;110;919;0.12;233;0.49;0.64;142;119;114;138;220;239
Jonathan Drouin;21;CAN;T.B;73;21;32;53;-13;LW;832500;17.7;16;3;0;4;3;1;0;10;19;1;33;28;1;0;101;31.6;551;82;16;0.017;33;717;0.103;109;0.436;0.177;19;22;15;26;62;76
Brandon Dubinsky;30;USA;CBJ;80;12;29;41;16;C;5850000;17.9;91;0;0;0;5;0;0;7;16;2;0;34;4;6;53;26.6;780;404;60;0.04;48;709;0.092;273;0.517;0.961;320;308;245;225;205;185
Matt Duchene;25;CAN;COL;77;18;23;41;-34;C;6000000;18.3;12;1;1;1;1;4;0;10;15;2;8;18;10;3;104;25.3;692;95;41;0.035;74;736;0.073;197;0.626;0.759;283;169;176;107;228;135
Anthony Duclair;21;CAN;ARI;58;5;10;15;-7;LW;832500;13.3;14;0;0;0;1;0;0;4;7;0;3;7;4;0;55;28.5;396;53;17;0.023;36;379;0.079;101;0.5;0.011;1;0;2;1;1;3
Matt Dumba;22;CAN;MIN;76;11;23;34;15;D;2350000;20.3;59;1;0;3;1;0;0;6;4;0;55;22;0;0;50;44.5;729;227;71;0.053;18;794;0.112;155;0;0;0;0;0;0;0;0
Gabriel Dumont;26;CAN;T.B;39;2;2;4;1;C;575000;9.7;29;0;0;0;0;1;0;1;9;0;2;2;1;1;19;26.3;175;134;19;0.055;13;148;0.054;33;0.55;0.558;92;70;14;22;27;17
Brian Dumoulin;25;USA;PIT;70;1;14;15;0;D;800000;20.5;14;0;0;0;0;0;0;1;3;1;14;14;0;0;46;50.8;758;226;99;0.073;6;723;0.082;251;0;0;0;0;0;0;0;0
Christian Dvorak;20;USA;ARI;78;15;18;33;7;C;792500;15.6;22;3;0;1;1;2;0;8;12;0;2;2;14;4;54;22.4;667;150;56;0.044;49;527;0.097;195;0.468;0.907;145;177;157;170;169;188
Ryan Dzingel;24;USA;OTT;81;14;18;32;7;LW;750000;14.4;30;0;0;1;2;3;1;7;11;6;7;17;11;2;69;23.1;575;124;21;0.02;69;607;0.082;150;0.3;0.03;0;3;3;2;6;16
Cody Eakin;25;CAN;DAL;60;3;9;12;-7;C;3850000;16.8;49;0;0;0;0;0;0;3;13;3;3;15;6;2;40;24.8;510;156;39;0.038;34;493;0.057;172;0.523;0.879;202;174;168;170;154;133
Patrick Eaves;32;USA;ANA;79;32;19;51;-2;RW;1000000;16.4;24;0;2;3;5;4;0;18;10;8;16;31;25;0;119;28.9;545;156;43;0.039;95;822;0.1;170;0.5;0.003;1;0;0;1;1;1
Jordan Eberle;26;CAN;EDM;82;20;31;51;3;RW;6000000;16.8;16;5;1;0;0;3;0;11;39;3;14;38;11;1;102;25.6;596;79;37;0.033;85;814;0.088;202;0.5;0.015;0;0;1;1;9;9
Alex Edler;30;SWE;VAN;68;6;15;21;-20;D;6000000;24.3;36;0;0;1;1;0;0;4;0;1;32;11;0;1;93;55.1;919;280;138;0.087;9;786;0.07;282;0.667;0.002;1;1;0;0;1;0
Joel Edmundson;23;CAN;STL;69;3;12;15;11;D;900000;17.8;60;0;0;1;0;0;0;2;0;0;28;9;0;0;44;55.2;639;281;95;0.078;3;539;0.082;192;0;0;0;0;0;0;0;0
Nikolaj Ehlers;20;DNK;WPG;82;25;39;64;1;LW;925000;17.4;38;1;0;2;4;1;1;16;22;2;35;23;1;6;115;32.2;665;109;28;0.023;60;801;0.104;197;0;0.003;0;0;0;1;0;3
Jack Eichel;20;USA;BUF;61;24;33;57;-13;C;925000;19.9;22;2;0;4;2;1;0;15;29;0;25;40;3;4;148;34.9;626;83;35;0.032;50;751;0.097;157;0.389;0.666;101;156;109;178;100;152
Aaron Ekblad;20;CAN;FLA;68;10;11;21;-23;D;925000;21.4;58;1;1;4;2;0;0;2;11;1;108;45;0;0;60;46.8;692;208;62;0.053;23;859;0.058;191;0;0;0;0;0;0;0;0
Mattias Ekholm;26;SWE;NSH;82;3;20;23;4;D;3000000;23.4;34;0;0;1;1;0;0;1;11;2;47;12;0;2;46;47.3;941;203;108;0.063;16;938;0.075;252;0;0;0;0;0;0;0;0
Oliver Ekman-Larsson;25;SWE;ARI;79;12;27;39;-25;D;6000000;24.5;48;0;0;2;4;1;0;5;3;0;23;13;1;0;105;46.5;998;245;85;0.046;14;947;0.09;317;0;0;0;0;0;0;0;0
Remi Elie;21;CAN;DAL;18;1;6;7;5;LW;767500;15.6;8;0;0;0;0;0;0;1;0;0;1;4;1;0;9;23.6;127;49;11;0.039;10;118;0.085;41;1;0.003;1;0;0;0;0;0
Lars Eller;27;DNK;WSH;81;12;13;25;15;C;4250000;13.9;36;0;0;1;2;2;0;7;14;2;10;18;8;1;62;30.3;528;137;30;0.029;49;521;0.084;179;0.471;0.908;140;198;137;146;139;123
Ryan Ellis;25;CAN;NSH;71;16;22;38;17;D;2500000;23.9;29;0;0;10;1;0;0;5;5;2;79;11;0;0;43;47.3;910;231;137;0.082;11;853;0.104;235;0;0;0;0;0;0;0;0
Alexei Emelin;30;RUS;MTL;76;2;8;10;1;D;4200000;21.3;71;0;0;1;0;0;0;1;1;0;40;3;1;0;37;52.7;854;440;127;0.079;4;673;0.067;254;0;0;0;0;0;0;0;0
Deryk Engelland;34;CAN;CGY;81;4;12;16;2;D;2750000;18.3;85;2;0;0;0;1;0;1;5;0;27;12;1;0;62;51.5;840;363;134;0.086;4;563;0.08;261;1;0.001;0;0;1;0;0;0
Andreas Englund;20;SWE;OTT;5;0;0;0;-3;D;742500;10.6;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;28.7;25;20;0;0;2;16;0.063;12;0;0;0;0;0;0;0;0
Tyler Ennis;27;CAN;BUF;51;5;8;13;-10;LW;3650000;12.8;12;0;0;0;0;1;0;4;6;1;10;8;1;3;60;29.9;318;80;23;0.04;27;372;0.062;88;0.188;0.026;1;1;1;5;1;7
Tobias Enstrom;32;SWE;WPG;60;1;13;14;-7;D;5750000;21.9;42;0;0;0;0;0;0;1;1;0;24;2;0;0;19;52.1;699;160;94;0.075;4;579;0.097;201;0;0;0;0;0;0;0;0
Jonathan Ericsson;32;SWE;DET;51;1;8;9;-2;D;4250000;19.2;63;0;0;0;1;0;0;0;0;0;12;7;3;0;21;49.3;554;188;36;0.036;4;383;0.094;161;0;0;0;0;0;0;0;0
Loui Eriksson;31;SWE;VAN;65;11;13;24;-9;LW;8000000;18.7;8;2;1;0;1;0;0;7;18;11;7;7;8;2;79;24.4;578;45;26;0.025;68;568;0.077;186;0;0.001;0;1;0;0;0;0
Joel Eriksson Ek;19;SWE;MIN;15;3;4;7;1;C;925000;10.6;4;0;0;0;1;0;0;2;3;0;1;4;0;1;6;31.2;101;35;8;0.047;3;64;0.109;17;0.413;0.686;8;19;18;24;19;21
Adam Erne;21;USA;T.B;26;3;0;3;-9;LW;925000;11.8;11;0;0;0;0;0;0;3;8;0;3;4;2;1;22;29.2;135;96;13;0.052;13;145;0.034;26;0;0.007;0;0;0;0;0;2
Emerson Etem;24;USA;ANA;3;0;0;0;1;LW;775000;8.8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;6;0;0;0;5;0.2;3;0;0.053;0;0;0;1;0;0
Robby Fabbri;20;CAN;STL;51;11;18;29;-16;C;925000;15.6;27;0;0;0;4;0;0;7;4;0;1;14;2;0;70;27.8;334;106;14;0.023;32;401;0.107;85;0.542;0.033;0;0;2;3;11;8
Radek Faksa;22;CZE;DAL;80;12;21;33;-6;C;832500;16.2;67;0;1;0;1;2;0;8;17;2;7;17;12;1;76;28.9;684;233;62;0.047;59;603;0.083;236;0.483;0.887;259;303;181;220;150;109
Justin Falk;28;CAN;BUF;52;0;8;8;-3;D;650000;13.7;29;0;0;0;0;0;0;0;1;0;12;8;0;0;12;55.1;376;171;40;0.06;2;344;0.055;108;0;0.002;0;0;0;0;0;0
Bobby Farnham;27;USA;MTL;3;0;0;0;0;RW;575000;8.3;17;0;0;0;0;0;0;0;0;0;0;2;0;0;2;26.8;20;28;2;0.057;3;11;0;3;1;0.056;0;0;0;0;1;0
Hudson Fasching;21;USA;BUF;10;0;1;1;-1;RW;925000;10.4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;5;15.8;57;21;2;0.022;4;47;0.021;11;0;0;0;0;0;0;0;0
Jesper Fast;25;SWE;NYR;68;6;15;21;6;RW;1000000;13.8;16;0;0;0;1;4;0;1;1;0;1;6;15;2;31;20.8;476;159;44;0.048;33;379;0.095;165;0.386;0.053;3;0;7;19;7;8
Justin Faulk;24;USA;CAR;75;17;20;37;-18;D;5500000;23;32;0;0;2;7;0;0;8;1;1;80;73;0;0;70;48.9;753;233;84;0.061;19;940;0.074;238;0;0;0;0;0;0;0;0
Mark Fayne;29;USA;EDM;4;0;2;2;1;D;3500000;7.9;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;48.5;18;3;2;0.08;0;18;0.111;4;0;0;0;0;0;0;0;0
Taylor Fedun;28;CAN;BUF;27;0;7;7;3;D;600000;13.4;16;0;0;0;0;0;0;0;0;0;6;1;0;0;17;56.7;153;43;20;0.073;1;184;0.087;42;0;0;0;0;0;0;0;0
Eric Fehr;31;CAN;PIT;53;6;5;11;2;C;2000000;10.9;14;0;0;0;1;1;0;4;6;0;3;8;3;0;42;25.2;337;131;35;0.052;19;228;0.079;111;0.513;0.271;26;43;34;19;19;13
Micheal Ferland;24;CAN;CGY;76;15;10;25;-1;LW;900000;11.6;50;2;0;2;4;1;0;6;10;1;9;12;5;0;69;28;433;231;26;0.033;41;419;0.088;127;0.429;0.008;0;2;1;2;2;0
Kevin Fiala;20;CHE;NSH;54;11;5;16;1;LW;925000;13.5;18;3;0;0;0;1;0;7;11;0;4;15;3;1;80;26.1;310;76;14;0.024;41;418;0.055;74;0;0;0;0;0;0;0;0
Vernon Fiddler;36;CAN;N.J;59;2;2;4;-15;C;1250000;11.6;66;1;0;0;0;0;0;1;4;0;6;15;2;0;21;30.6;402;158;33;0.044;13;214;0.056;110;0.537;0.901;196;173;125;96;46;49
Valtteri Filppula;32;FIN;PHI;79;12;30;42;-1;C;5000000;17.4;26;2;0;0;0;3;0;7;13;1;5;10;11;1;56;27.3;709;91;39;0.031;33;679;0.094;212;0.478;0.829;201;245;194;221;161;140
Christian Fischer;19;USA;ARI;7;3;0;3;0;RW;817500;12.3;0;0;0;0;0;0;0;3;0;0;1;2;0;0;7;40.8;44;9;0;0;1;25;0.12;6;0;0;0;0;0;0;0;0
Mike Fisher;36;CAN;NSH;72;18;24;42;1;C;4000000;16.6;55;2;0;0;1;5;1;9;16;0;5;19;8;3;69;26.8;567;282;64;0.059;50;628;0.1;162;0.549;0.969;297;247;177;150;229;180
Brian Flynn;28;USA;MTL;51;6;4;10;2;C;950000;12.1;4;2;0;0;0;0;0;4;5;0;1;3;3;0;35;31.5;307;53;29;0.047;15;216;0.093;79;0.463;0.231;36;48;13;21;20;11
Marcus Foligno;25;CAN;BUF;80;13;10;23;-1;LW;2250000;15.5;73;3;0;1;0;0;0;9;12;3;5;15;5;2;55;32.2;681;418;57;0.046;45;551;0.074;162;0.2;0.004;1;3;0;0;0;1
Nick Foligno;29;USA;CBJ;79;26;25;51;-4;LW;5500000;18.4;55;3;1;0;6;3;1;12;31;1;9;47;10;6;81;25.8;639;265;50;0.043;91;808;0.098;186;0.461;0.06;7;11;8;16;26;21
Christian Folin;25;SWE;MIN;51;2;6;8;10;D;850000;14.9;26;1;0;0;0;0;0;1;1;0;16;4;0;0;18;63.1;432;154;59;0.075;0;352;0.088;105;0;0;0;0;0;0;0;0
Derek Forbort;24;USA;L.A;82;2;16;18;8;D;650000;20.1;54;0;0;0;0;0;0;2;0;0;32;13;0;0;55;55.9;790;395;159;0.104;2;713;0.073;263;1;0.001;0;0;1;0;0;0
Jakob Forsbacka Karlsson;20;SWE;BOS;1;0;0;0;0;C;900000;8.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0.2;0;3;0;0;0.5;0.667;1;0;0;0;0;1
Filip Forsberg;22;SWE;NSH;82;31;27;58;-4;LW;6000000;18.5;32;2;0;3;8;1;0;17;19;0;36;41;5;4;129;31.3;724;155;26;0.02;76;861;0.096;200;0.278;0.011;1;1;0;2;4;10
Gustav Forsling;20;SWE;CHI;38;2;3;5;3;D;767500;14.8;4;0;0;2;0;0;0;0;1;0;34;1;0;0;12;53;284;37;17;0.035;1;260;0.077;89;0;0;0;0;0;0;0;0
Cam Fowler;25;USA;ANA;80;11;28;39;7;D;4000000;24.8;20;0;0;4;3;0;0;4;3;0;67;24;3;2;87;45.5;970;183;134;0.072;19;996;0.099;324;0;0;0;0;0;0;0;0
Cody Franson;29;CAN;BUF;68;3;16;19;-5;D;2650000;18.5;34;0;0;2;0;0;0;1;1;0;35;29;0;0;28;53.1;611;189;68;0.063;3;640;0.072;157;0;0;0;0;0;0;0;0
Martin Frk;23;CZE;CAR;2;0;0;0;-3;RW;650000;8.3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;40;10;4;1;0.077;0;4;0;0;0;0;0;0;0;0;0;0
