Name;Age;Nat;Team;Game Played;Goal;Assist;Points;Plus Minus;Position1;Salary;TOI.GP;PIM;G.Bkhd;G.Dflct;G.Slap;G.Snap;G.Tip;G.Wrap;G.Wrst;S.Bkhd;S.Dflct;S.Slap;S.Snap;S.Tip;S.Wrap;S.Wrst;sDist;SA;Grit;iBLK;BLK.;iSCF;SF;SH.;SCA;FO.;X.FOT;dzFOW;dzFOL;nzFOW;nzFOL;ozFOW;ozFOL
Nicholas Baptiste;21;CAN;BUF;14;3;1;4;1;RW;740000;9.2;6;1;0;0;0;0;0;2;1;0;2;0;1;0;13;27.8;75;19;1;0.008;7;55;0.109;18;0.333;0.022;0;0;0;1;1;1
Ivan Barbashev;21;RUS;STL;30;5;7;12;5;C;742500;11.8;2;0;0;0;1;1;0;3;2;2;0;2;3;0;11;22.9;158;50;14;0.047;12;168;0.095;36;0.401;0.799;24;43;31;48;28;33
Riley Barber;22;USA;WSH;3;0;0;0;0;RW;667500;8.6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;25.5;12;1;0;0;0;10;0;2;0;0;0;0;0;0;0;0
Mark Barberio;26;CAN;COL;60;2;11;13;-5;D;800000;18.2;14;0;0;0;2;0;0;0;0;0;19;18;0;1;42;47.8;508;89;55;0.062;11;538;0.074;148;0;0;0;0;0;0;0;0
Aleksander Barkov;21;FIN;FLA;61;21;31;52;13;C;4500000;19.4;10;3;0;6;2;2;0;8;12;1;29;27;8;0;65;27.3;521;79;30;0.036;57;741;0.094;151;0.465;0.845;123;149;163;182;190;216
Tyson Barrie;25;CAN;COL;74;7;31;38;-34;D;5000000;23.3;18;0;0;2;2;0;0;3;6;0;68;13;0;0;95;47.7;855;125;75;0.053;15;894;0.07;214;0;0;0;0;0;0;0;0
Matt Bartkowski;28;USA;CGY;24;1;1;2;-4;D;575000;15.4;26;0;0;0;0;0;0;1;0;0;6;0;0;0;10;50.1;219;86;12;0.033;0;150;0.087;57;0;0;0;0;0;0;0;0
Mathew Barzal;19;CAN;NYI;2;0;0;0;-2;C;925000;9.7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7;0;0;0;8;0;5;0.462;0.867;1;2;2;3;3;2
Cody Bass;29;CAN;NSH;9;0;0;0;-1;C;575000;6.8;19;0;0;0;0;0;0;0;0;0;0;1;0;0;0;57;35;40;4;0.058;0;13;0;9;0;0.036;0;0;0;1;0;1
Jay Beagle;31;CAN;WSH;81;13;17;30;20;C;1750000;13.6;22;1;0;0;0;3;1;8;17;0;6;16;13;2;46;24.9;585;121;44;0.038;47;409;0.1;218;0.564;0.913;333;253;189;152;102;78
Francois Beauchemin;36;CAN;COL;81;5;13;18;-14;D;4500000;21.5;32;0;0;2;0;1;0;2;0;1;75;11;1;1;43;55.2;969;261;156;0.088;8;768;0.073;261;0;0;0;0;0;0;0;0
Nathan Beaulieu;24;CAN;MTL;74;4;24;28;8;D;1000000;19.5;44;0;0;2;0;0;0;2;2;0;30;10;1;1;74;49.4;720;213;102;0.078;10;729;0.107;206;0;0;0;0;0;0;0;0
Anthony Beauvillier;19;CAN;NYI;66;9;15;24;1;C;925000;13;10;1;0;1;1;1;0;5;13;3;5;19;5;5;51;30.5;457;117;26;0.029;31;418;0.093;132;0.414;0.425;30;57;42;54;51;63
Taylor Beck;25;CAN;EDM;5;0;0;0;-3;LW;650000;8.8;4;0;0;0;0;0;0;0;1;0;1;1;1;0;1;23.6;23;9;0;0;2;15;0;12;0;0.026;0;0;0;0;0;1
Matt Beleskey;28;CAN;BOS;49;3;5;8;-10;LW;4000000;13.2;47;0;0;0;1;0;0;2;5;2;7;20;1;0;44;35.7;248;166;18;0.036;11;357;0.048;53;0.414;0.12;4;4;6;7;19;30
Pierre-Edouard Bellemare;31;FRA;PHI;82;4;4;8;-1;LW;725000;13;20;0;0;1;2;1;0;0;10;1;8;36;5;1;29;37.5;544;165;70;0.061;17;354;0.059;176;0.484;0.86;168;226;140;117;94;86
Jamie Benn;27;CAN;DAL;77;26;43;69;-9;LW;5750000;19.4;66;4;0;1;2;3;1;15;18;6;12;25;12;3;125;29.3;709;206;47;0.034;83;850;0.101;254;0.515;0.237;64;65;35;34;113;101
Jordie Benn;29;CAN;DAL;71;4;13;17;-4;D;1100000;18.3;28;0;0;3;0;0;0;1;1;0;26;8;1;0;32;52.6;705;236;144;0.104;6;600;0.065;233;0;0;0;0;0;0;0;0
Beau Bennett;25;USA;N.J;65;8;11;19;-3;RW;725000;13.6;20;1;0;2;0;2;0;3;8;0;6;35;8;1;43;33;384;110;13;0.02;28;466;0.058;108;0.188;0.021;0;1;0;1;3;11
Sam Bennett;20;CAN;CGY;81;13;13;26;-16;C;925000;15;75;0;0;2;1;1;0;9;13;0;5;9;16;2;77;27;562;251;46;0.044;45;519;0.077;150;0.461;0.721;115;125;141;163;118;149
Matthew Benning;22;CAN;EDM;62;3;12;15;8;D;925000;16.6;29;0;0;0;2;0;0;1;2;0;12;20;0;1;34;44;479;205;64;0.072;6;510;0.096;142;0;0;0;0;0;0;0;0
Patrice Bergeron;31;CAN;BOS;79;21;32;53;12;C;8750000;19.4;24;2;1;4;5;3;0;6;25;8;17;74;22;2;153;31.7;601;125;47;0.041;102;1022;0.097;167;0.601;0.954;340;259;324;185;420;278
Patrik Berglund;28;SWE;STL;82;23;11;34;-7;C;3700000;16;32;5;0;2;1;6;0;9;24;2;10;9;17;4;87;25.7;604;229;42;0.038;64;614;0.081;166;0.5;0.923;218;228;207;191;159;166
Christoph Bertschy;22;CHE;MIN;5;0;1;1;0;C;742500;8.1;4;0;0;0;0;0;0;0;1;0;0;1;0;0;3;26.2;20;14;3;0.086;2;15;0.067;2;0;0;0;0;0;0;0;0
Tyler Bertuzzi;21;CAN;DET;7;0;0;0;-1;LW;667500;9.1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;41;29;12;0;0;1;21;0.048;8;0.5;0.035;0;0;1;0;0;1
Bryan Bickell;30;CAN;CAR;11;1;0;1;-4;LW;NA;10.4;4;0;1;0;0;0;0;0;0;1;1;4;0;0;2;39.1;58;23;3;0.029;4;50;0.1;22;0;0.021;0;1;0;0;0;1
Alex Biega;28;CAN;VAN;36;0;3;3;-4;D;700000;13.2;18;0;0;0;0;0;0;0;0;1;8;8;0;0;20;49.6;270;139;24;0.053;2;207;0.053;72;0;0;0;0;0;0;0;0
Kevin Bieksa;35;CAN;ANA;81;3;11;14;0;D;4000000;18.7;63;0;0;2;0;0;0;1;4;0;42;3;3;1;41;45.9;820;341;100;0.065;13;658;0.085;266;0;0;0;0;0;0;0;0
Anthony Bitetto;26;USA;NSH;29;0;7;7;-1;D;575000;11.8;25;0;0;0;0;0;0;0;1;0;3;1;0;0;12;47.2;201;93;24;0.066;0;159;0.094;48;0;0;0;0;0;0;0;0
Oliver Bjorkstrand;21;DNK;CBJ;26;6;7;13;4;RW;600000;14.1;6;0;0;2;1;0;0;3;5;1;5;11;6;0;27;24.4;139;29;9;0.036;31;221;0.104;42;1;0.003;0;0;1;0;0;0
Nick Bjugstad;24;USA;FLA;54;7;7;14;-19;C;3350000;13.1;22;1;0;1;0;1;0;4;18;1;14;13;7;1;37;27.1;395;103;9;0.014;40;392;0.061;121;0.476;0.582;42;50;53;61;91;94
Joseph Blandisi;22;CAN;N.J;27;3;6;9;-10;LW;715000;13.2;26;1;0;1;0;1;0;0;1;0;3;12;2;0;6;26.8;157;71;6;0.021;16;170;0.088;38;0.45;0.516;27;30;28;35;21;28
Anton Blidh;21;SWE;BOS;19;1;1;2;-2;LW;792500;8.8;7;0;0;0;0;1;0;0;2;0;1;4;5;0;14;31.7;64;53;4;0.03;10;87;0.034;19;0;0;0;0;0;0;0;0
Mike Blunden;30;CAN;OTT;2;0;0;0;0;RW;725000;8.1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;35;13;10;0;0;0;4;0;2;0;0;0;0;0;0;0;0
Mikkel Boedker;27;DNK;S.J;81;10;16;26;0;LW;5200000;14.3;10;0;1;0;3;2;0;4;10;8;5;17;5;2;75;24.4;541;116;35;0.031;58;596;0.081;173;0.278;0.017;1;1;2;3;2;9
Brock Boeser;19;USA;VAN;9;4;1;5;0;RW;925000;16.2;0;0;0;0;1;0;0;3;1;1;3;3;0;1;16;30.4;63;5;0;0;8;86;0.093;21;0;0;0;0;0;0;0;0
Zach Bogosian;26;USA;BUF;56;2;9;11;-17;D;5250000;20.1;46;1;0;1;0;0;0;0;4;1;44;9;0;0;15;56.1;646;204;97;0.085;4;538;0.063;180;0;0.001;0;0;0;0;0;0
Jared Boll;30;USA;ANA;51;0;3;3;-3;RW;900000;5.8;87;0;0;0;0;0;0;0;3;0;0;1;1;0;8;28.1;162;184;14;0.05;4;96;0.063;48;0;0.003;0;0;0;0;0;1
Nick Bonino;28;USA;PIT;80;18;19;37;-5;C;2100000;16.6;16;2;0;0;3;1;0;12;16;0;3;17;12;2;92;25.7;740;175;99;0.074;65;655;0.078;261;0.48;0.935;238;257;186;207;158;167
Mark Borowiecki;27;CAN;OTT;70;1;2;3;-3;D;1100000;14;154;0;0;1;0;0;0;0;0;0;16;6;0;0;28;48;479;622;90;0.094;3;443;0.054;109;1;0.001;0;0;0;0;1;0
Robert Bortuzzo;27;CAN;STL;38;1;3;4;11;D;1050000;14.1;15;1;0;0;0;0;0;0;3;0;13;3;1;0;25;47.7;219;143;50;0.107;2;239;0.096;48;0;0;0;0;0;0;0;0
Reid Boucher;23;USA;N.J;39;6;4;10;-6;C;715000;11.8;8;2;0;0;1;1;0;2;9;0;6;4;4;0;47;33;232;42;14;0.03;25;242;0.07;72;0;0.002;0;0;0;1;0;0
Lance Bouma;26;CAN;CGY;61;3;4;7;-2;C;2200000;11.3;35;1;0;0;0;1;0;1;4;2;6;7;3;1;30;27.2;324;209;44;0.065;14;232;0.078;100;0.333;0.019;2;4;2;1;0;3
Michael Bournival;24;CAN;T.B;19;2;1;3;-3;LW;575000;10.1;2;0;0;0;0;1;0;1;1;0;3;5;4;0;12;32.5;82;41;8;0.049;7;95;0.032;12;0.333;0.016;0;0;0;0;1;2
Gabriel Bourque;26;CAN;COL;6;0;0;0;0;LW;800000;11.2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;32;41;23;6;0.074;2;21;0.048;16;0;0.017;0;0;0;0;0;1
Rene Bourque;35;CAN;COL;65;12;6;18;-19;RW;650000;13.9;56;0;0;1;0;4;0;7;14;1;9;6;9;3;70;27.8;445;159;26;0.033;44;453;0.066;111;0;0.006;0;1;0;1;0;3
Jay Bouwmeester;33;CAN;STL;81;1;14;15;6;D;5600000;22.4;28;0;0;1;0;0;0;0;0;1;52;9;0;0;44;52.1;970;206;111;0.062;7;720;0.099;255;0;0;0;0;0;0;0;0
Johnny Boychuk;32;CAN;NYI;66;6;17;23;11;D;7000000;20.7;19;0;0;5;0;0;0;1;2;0;94;20;0;0;39;55.5;704;313;133;0.097;6;699;0.084;230;1;0.001;1;0;0;0;0;0
Brian Boyle;32;USA;T.B;75;13;12;25;3;C;2000000;13;66;2;1;0;0;3;0;7;14;5;9;9;18;0;76;28.1;469;228;41;0.048;45;497;0.091;119;0.522;0.553;124;114;72;89;106;72
